Rank,ARI_obs,Boot_mean,Boot_std,CI_low,CI_high,P_value,Group0,Group1
18,0.852099817407182,0.8517813086509705,0.14203977584838867,0.5544554591178894,1.0,0.0001999600079984003,"aware, ma, mu, sabi, shakkei, tokonoma, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tomeishi, torii, tsuboniwa"
19,0.852099817407182,0.8514426350593567,0.14265818893909454,0.5544554591178894,1.0,0.0001999600079984003,"aware, fusuma, ma, mu, sabi, shakkei, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
20,0.852099817407182,0.8547592759132385,0.13963022828102112,0.5544554591178894,1.0,0.0001999600079984003,"aware, ma, mu, sabi, shakkei, shōji, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, tokonoma, tomeishi, torii, tsuboniwa"
21,0.852099817407182,0.8491452932357788,0.1425299048423767,0.5544554591178894,1.0,0.0001999600079984003,"aware, engawa, ma, mu, sabi, shakkei, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
22,0.852099817407182,0.8529655337333679,0.1397470086812973,0.5544554591178894,1.0,0.0001999600079984003,"aware, en, ma, mu, sabi, shakkei, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
23,0.8468809073724007,0.8434119820594788,0.14997293055057526,0.5149368643760681,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, mu, sabi, shakkei, wabi, wabi_sabi"
24,0.8468809073724007,0.8377142548561096,0.15309381484985352,0.48466256260871887,1.0,0.0001999600079984003,"aware, ma, sabi, shakkei, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
25,0.8468809073724007,0.8483422994613647,0.14415216445922852,0.5149368643760681,1.0,0.0001999600079984003,"aware, ma, mu, sabi, shakkei, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi"
26,0.8468809073724007,0.8503475189208984,0.1422307789325714,0.5544554591178894,1.0,0.0001999600079984003,"aware, ma, mu, shakkei, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
27,0.8468809073724007,0.8390199542045593,0.15213365852832794,0.5149368643760681,1.0,0.0001999600079984003,"aware, ma, mu, sabi, shakkei, wabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi_sabi"
28,0.8468809073724007,0.8445807099342346,0.15164436399936676,0.49323679357767114,1.0,0.0003999200159968006,"aware, ma, mu, sabi, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
29,0.8468809073724007,0.8410742878913879,0.14518971741199493,0.5149368643760681,1.0,0.0001999600079984003,"ma, mu, sabi, shakkei, wabi, wabi_sabi","aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
30,0.7189189189189189,0.7258244156837463,0.17118477821350098,0.3799743354320526,1.0,0.0003999200159968006,"aware, chashitsu, karesansui, ma, mu, sabi, shakkei, wabi, wabi_sabi","byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
