term,cluster
aware,1
byōbu,0
chashitsu,0
chigaidana,0
doma,0
en,1
engawa,1
fusuma,0
genkan,0
haiden,0
hisashi,0
honden,0
ikezuishi,1
karesansui,1
ma,1
mu,1
roji,0
sabi,1
sandō,0
shakkei,1
shimenawa,0
shōji,0
tokonoma,0
tomeishi,1
torii,0
tsuboniwa,1
wabi,1
