Rank,ARI_obs,Boot_mean,Boot_std,CI_low,CI_high,P_value,Group0,Group1
18,0.852099817407182,0.8482311964035034,0.13960450887680054,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, haiden, ma, mu, sabi, shakkei, wabi, wabi_sabi"
19,0.852099817407182,0.8528597354888916,0.14318834245204926,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, ma, mu, sabi, sandō, shakkei, wabi, wabi_sabi"
20,0.852099817407182,0.8517155647277832,0.14059415459632874,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, honden, ma, mu, sabi, shakkei, wabi, wabi_sabi"
21,0.852099817407182,0.8518196940422058,0.144622340798378,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, chashitsu, ma, mu, sabi, shakkei, wabi, wabi_sabi"
22,0.852099817407182,0.854505717754364,0.13755831122398376,0.5534674942493456,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, karesansui, ma, mu, sabi, shakkei, wabi, wabi_sabi"
23,0.8468809073724007,0.8404073715209961,0.14927127957344055,0.4908662438392639,1.0,0.0001999600079984003,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","ma, mu, sabi, shakkei, wabi, wabi_sabi"
24,0.8468809073724007,0.8448922038078308,0.1472265124320984,0.4932890810072422,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, ma, mu, sabi, wabi, wabi_sabi"
25,0.8468809073724007,0.842458963394165,0.14835220575332642,0.5149368643760681,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi_sabi","aware, ma, mu, sabi, shakkei, wabi"
26,0.8468809073724007,0.8503475189208984,0.1422307789325714,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, ma, mu, shakkei, wabi, wabi_sabi"
27,0.8468809073724007,0.8468806147575378,0.1487891674041748,0.49359458684921265,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi","aware, ma, mu, sabi, shakkei, wabi_sabi"
28,0.8468809073724007,0.8491356372833252,0.14562959969043732,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, ma, sabi, shakkei, wabi, wabi_sabi"
29,0.8468809073724007,0.8437397480010986,0.14791205525398254,0.49358716160058974,1.0,0.0001999600079984003,"aware, mu, sabi, shakkei, wabi, wabi_sabi","byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa"
30,0.7189189189189189,0.719612181186676,0.17104968428611755,0.3799743354320526,1.0,0.0003999200159968006,"byōbu, chashitsu, chigaidana, doma, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, en, engawa, ma, mu, sabi, shakkei, wabi, wabi_sabi"
