term,cluster
aware,0
byōbu,1
chashitsu,1
chigaidana,1
doma,1
en,1
engawa,1
fusuma,1
genkan,1
haiden,1
hisashi,1
honden,1
ikezuishi,1
karesansui,1
ma,0
mu,0
roji,1
sabi,0
sandō,1
shakkei,0
shimenawa,1
shōji,1
tokonoma,1
tomeishi,1
torii,1
tsuboniwa,1
wabi,0
wabi_sabi,0
