Mode,Models,TopK,Words_used,Seed,Best_ARI,W2V_Cluster_Sig,BERT_Cluster_Sig
FULL,BERT,0,28,42,,df202cd412,5c4ba3a0c8
CLEAN,BERT,0,28,42,,7380371d34,5c4ba3a0c8
