term,cluster
aware,1
byōbu,1
chashitsu,1
chigaidana,1
doma,1
en,1
engawa,1
fusuma,1
genkan,0
haiden,0
hisashi,0
honden,0
ikezuishi,1
karesansui,1
ma,1
mu,1
roji,1
sabi,1
sandō,0
shakkei,1
shimenawa,0
shōji,1
tokonoma,1
tomeishi,1
torii,0
tsuboniwa,1
wabi,1
